Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado
Feminino,56,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,21,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,40,Médio Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,21,Médio Completo,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,15,Médio Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,4,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,44,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,4,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,65,Não Escolarizado,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,53,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,65,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,21,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,24,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,27,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,14,Fundamental Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,59,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,21,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,45,Médio Completo,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,35,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,67,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,39,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,13,Fundamental Completo,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,6,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,45,Não Escolarizado,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,26,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,26,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,26,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,7,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,6,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,6,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,2,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,30,Médio Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,9,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,11,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,43,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,13,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,11,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,27,Fundamental Incompleto,Fischer,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,44,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,19,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,8,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,6,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,37,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,10,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,17,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,44,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,17,Médio Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,15,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,9,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,10,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,8,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,7,Fundamental Incompleto,Quinta Lebrão,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,18,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,21,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,45,Médio Completo,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,15,Médio Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Masculino,12,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
Feminino,10,Fundamental Incompleto,Fonte Santa,1°,CRAS Prata,CRAS Prata,PAIF,,,,,,,,,,,,,,,,,,,
